,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF
ResNet18,99.46,88.04,95.11,97.28
VGG16,100.0,9.78,97.83,97.83
OVERALL,99.0,48.0,96.0,97.0
