,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,86.0,40.0,4.0,86.0,76.0,0.0
resnet18,96.0,62.0,16.0,96.0,92.0,0.0
squeezenet,86.0,52.0,16.0,86.0,72.0,0.0
vgg16,96.0,76.0,2.0,94.0,90.0,0.0
googlenet,94.0,70.0,10.0,94.0,84.0,0.0
inception_v3,92.0,66.0,8.0,88.0,80.0,0.0
