,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,64.0,26.0,18.0,56.0,56.0,0.0
resnet18,78.0,48.0,20.0,76.0,68.0,0.0
squeezenet,56.0,30.0,44.0,50.0,46.0,0.0
vgg16,74.0,48.0,18.0,74.0,74.0,0.0
googlenet,74.0,64.0,6.0,72.0,66.0,0.0
inception_v3,72.0,42.0,14.0,72.0,58.0,0.0
