,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,64.0,8.0,16.0,64.0,42.0,2.0
resnet18,78.0,32.0,44.0,74.0,60.0,4.0
squeezenet,56.0,26.0,44.0,56.0,48.0,4.0
vgg16,74.0,44.0,16.0,70.0,62.0,0.0
googlenet,74.0,56.0,2.0,76.0,58.0,0.0
inception_v3,72.0,34.0,8.0,72.0,58.0,2.0
