,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,64.0,20.0,2.0,56.0,52.0,0.0
resnet18,78.0,50.0,14.0,76.0,64.0,0.0
squeezenet,56.0,34.0,16.0,50.0,42.0,0.0
vgg16,74.0,60.0,6.0,74.0,72.0,0.0
googlenet,74.0,54.0,2.0,72.0,62.0,0.0
inception_v3,72.0,34.0,14.0,72.0,60.0,0.0
