,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,98.0,74.0,20.0,96.0,86.0,2.0
resnet18,98.0,86.0,46.0,98.0,94.0,0.0
squeezenet,96.0,74.0,36.0,94.0,90.0,2.0
vgg16,100.0,88.0,4.0,100.0,98.0,0.0
googlenet,98.0,90.0,8.0,98.0,98.0,0.0
inception_v3,98.0,72.0,4.0,98.0,94.0,0.0
