,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,86.0,36.0,30.0,86.0,74.0,0.0
resnet18,96.0,78.0,34.0,96.0,90.0,0.0
squeezenet,86.0,50.0,58.0,86.0,74.0,0.0
vgg16,96.0,72.0,32.0,94.0,88.0,0.0
googlenet,94.0,80.0,18.0,94.0,84.0,0.0
inception_v3,92.0,70.0,40.0,88.0,84.0,0.0
