,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,64.0,30.0,0.0,56.0,58.0,0.0
resnet18,78.0,58.0,4.0,76.0,74.0,0.0
squeezenet,56.0,40.0,8.0,50.0,54.0,0.0
vgg16,74.0,64.0,2.0,74.0,70.0,0.0
googlenet,74.0,52.0,0.0,72.0,60.0,0.0
inception_v3,72.0,48.0,0.0,72.0,52.0,0.0
