,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,86.0,50.0,2.0,86.0,78.0,2.0
resnet18,96.0,74.0,12.0,96.0,88.0,0.0
squeezenet,86.0,52.0,16.0,86.0,74.0,0.0
vgg16,96.0,78.0,0.0,94.0,92.0,0.0
googlenet,94.0,78.0,2.0,94.0,86.0,0.0
inception_v3,92.0,68.0,0.0,88.0,80.0,0.0
