,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,98.0,78.0,16.0,96.0,92.0,2.0
resnet18,98.0,90.0,30.0,98.0,96.0,0.0
squeezenet,96.0,82.0,28.0,94.0,96.0,0.0
vgg16,100.0,88.0,20.0,100.0,98.0,0.0
googlenet,98.0,84.0,16.0,98.0,94.0,0.0
inception_v3,98.0,80.0,12.0,98.0,100.0,2.0
