,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,64.0,36.0,2.0,56.0,50.0,0.0
resnet18,78.0,64.0,2.0,76.0,66.0,0.0
squeezenet,56.0,40.0,0.0,50.0,46.0,0.0
vgg16,74.0,64.0,8.0,74.0,72.0,0.0
googlenet,74.0,56.0,4.0,72.0,62.0,0.0
inception_v3,72.0,46.0,4.0,72.0,60.0,0.0
