,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF
ResNet18,98.9,0.0,96.15,73.08
VGG16,100.0,0.0,97.8,95.05
OVERALL,99.0,0.0,96.0,84.0
