,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,64.0,32.0,0.0,64.0,32.0,0.0
resnet18,78.0,52.0,2.0,78.0,52.0,2.0
squeezenet,56.0,34.0,10.0,56.0,34.0,10.0
vgg16,74.0,60.0,0.0,74.0,60.0,0.0
googlenet,74.0,52.0,0.0,74.0,52.0,0.0
inception_v3,72.0,46.0,0.0,72.0,46.0,0.0
