,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF
ResNet18,99.46,19.57,95.11,98.37
VGG16,100.0,0.0,97.83,97.83
OVERALL,99.0,9.0,96.0,98.0
