,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,98.0,60.0,46.0,96.0,86.0,0.0
resnet18,98.0,88.0,66.0,98.0,96.0,2.0
squeezenet,96.0,72.0,76.0,94.0,94.0,2.0
vgg16,100.0,86.0,42.0,100.0,98.0,2.0
googlenet,98.0,90.0,34.0,98.0,94.0,2.0
inception_v3,98.0,82.0,54.0,98.0,98.0,0.0
