,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,86.0,44.0,28.0,86.0,76.0,0.0
resnet18,96.0,74.0,30.0,96.0,94.0,0.0
squeezenet,86.0,40.0,40.0,86.0,74.0,2.0
vgg16,96.0,62.0,34.0,94.0,90.0,0.0
googlenet,94.0,70.0,4.0,94.0,88.0,0.0
inception_v3,92.0,66.0,28.0,88.0,84.0,0.0
