,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,98.0,66.0,8.0,96.0,92.0,0.0
resnet18,98.0,86.0,12.0,98.0,96.0,0.0
squeezenet,96.0,72.0,28.0,94.0,92.0,0.0
vgg16,100.0,88.0,6.0,100.0,96.0,0.0
googlenet,98.0,86.0,4.0,98.0,96.0,0.0
inception_v3,98.0,82.0,12.0,98.0,96.0,0.0
