,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF
ResNet18,100.0,0.54,96.74,97.83
VGG16,100.0,0.0,98.37,98.37
OVERALL,100.0,0.0,97.0,98.0
