,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,64.0,30.0,18.0,56.0,52.0,0.0
resnet18,78.0,48.0,14.0,76.0,70.0,0.0
squeezenet,56.0,28.0,26.0,50.0,44.0,0.0
vgg16,74.0,38.0,22.0,74.0,68.0,0.0
googlenet,74.0,52.0,0.0,72.0,68.0,0.0
inception_v3,72.0,44.0,16.0,72.0,58.0,0.0
