,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,98.0,76.0,18.0,96.0,92.0,2.0
resnet18,98.0,82.0,38.0,98.0,96.0,0.0
squeezenet,96.0,74.0,32.0,94.0,94.0,4.0
vgg16,100.0,80.0,22.0,100.0,96.0,0.0
googlenet,98.0,82.0,10.0,98.0,92.0,0.0
inception_v3,98.0,74.0,10.0,98.0,94.0,0.0
