,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,98.0,66.0,38.0,96.0,90.0,2.0
resnet18,98.0,86.0,52.0,98.0,98.0,0.0
squeezenet,96.0,66.0,62.0,94.0,92.0,4.0
vgg16,100.0,74.0,56.0,100.0,96.0,2.0
googlenet,98.0,84.0,10.0,98.0,92.0,0.0
inception_v3,98.0,78.0,40.0,98.0,100.0,0.0
