,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,86.0,38.0,12.0,86.0,78.0,0.0
resnet18,96.0,72.0,12.0,96.0,94.0,0.0
squeezenet,86.0,58.0,14.0,86.0,72.0,2.0
vgg16,96.0,64.0,10.0,94.0,86.0,0.0
googlenet,94.0,70.0,8.0,94.0,82.0,0.0
inception_v3,92.0,58.0,2.0,88.0,82.0,0.0
