,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,86.0,34.0,14.0,86.0,78.0,0.0
resnet18,96.0,66.0,26.0,96.0,90.0,0.0
squeezenet,86.0,48.0,28.0,86.0,60.0,2.0
vgg16,96.0,72.0,6.0,94.0,90.0,0.0
googlenet,94.0,72.0,16.0,94.0,88.0,0.0
inception_v3,92.0,50.0,22.0,88.0,80.0,0.0
