,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,SUCCESS_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF,SUCCESS_DEF
alexnet,98.0,50.0,50.0,96.0,88.0,0.0
resnet18,98.0,78.0,86.0,98.0,94.0,0.0
squeezenet,96.0,62.0,72.0,94.0,98.0,0.0
vgg16,100.0,76.0,44.0,100.0,98.0,2.0
googlenet,98.0,90.0,14.0,98.0,96.0,0.0
inception_v3,98.0,72.0,36.0,98.0,96.0,2.0
