,NAT_ACC_NAIVE,ADVER_ACC_NAIVE,NAT_ACC_DEF,ADVER_ACC_DEF
ResNet18,98.94,0.0,96.83,69.31
VGG16,100.0,0.0,99.47,80.95
OVERALL,99.0,0.0,98.0,75.0
